DATE,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
2016-01-04,0.846,1.143,1.373,1.545,1.683,1.803,1.905,1.993,2.069,2.136,2.365,2.475,2.562
2016-01-05,0.853,1.143,1.371,1.545,1.687,1.812,1.922,2.014,2.094,2.165,2.406,2.523,2.615
2016-01-06,0.838,1.116,1.338,1.504,1.639,1.76,1.865,1.956,2.033,2.102,2.336,2.449,2.538
2016-01-07,0.82,1.085,1.3,1.469,1.61,1.736,1.846,1.941,2.023,2.095,2.337,2.453,2.546
2016-01-08,0.808,1.045,1.246,1.408,1.548,1.675,1.787,1.883,1.966,2.04,2.289,2.408,2.504
2016-01-11,0.801,1.024,1.214,1.376,1.515,1.641,1.753,1.85,1.932,2.005,2.252,2.371,2.465
2016-01-12,0.798,1.011,1.2,1.358,1.496,1.623,1.737,1.834,1.917,1.991,2.238,2.356,2.449
2016-01-13,0.797,1.005,1.19,1.346,1.484,1.61,1.723,1.82,1.904,1.977,2.222,2.339,2.431
2016-01-14,0.779,0.968,1.144,1.297,1.434,1.561,1.676,1.773,1.859,1.934,2.182,2.301,2.394
2016-01-15,0.751,0.906,1.069,1.218,1.355,1.483,1.603,1.773,1.859,1.87,2.118,2.236,2.328
2016-01-18,0.751,0.906,1.069,1.218,1.355,1.483,1.603,1.773,1.859,1.87,2.118,2.236,2.328
2016-01-19,0.765,0.932,1.101,1.257,1.398,1.527,1.642,1.741,1.827,1.902,2.142,2.257,2.345
2016-01-20,0.723,0.866,1.025,1.175,1.314,1.442,1.556,1.655,1.74,1.814,2.053,2.167,2.255
2016-01-21,0.729,0.888,1.055,1.21,1.352,1.481,1.598,1.698,1.785,1.859,2.099,2.214,2.302
2016-01-22,0.749,0.931,1.112,1.274,1.419,1.55,1.665,1.764,1.85,1.924,2.166,2.282,2.372
2016-01-25,0.753,0.933,1.109,1.268,1.409,1.534,1.645,1.741,1.823,1.895,2.135,2.25,2.34
2016-01-26,0.753,0.924,1.098,1.255,1.395,1.52,1.631,1.727,1.81,1.881,2.123,2.24,2.33
2016-01-27,0.76,0.936,1.114,1.273,1.414,1.541,1.651,1.747,1.831,1.904,2.147,2.265,2.357
2016-01-28,0.728,0.895,1.07,1.23,1.372,1.502,1.618,1.718,1.805,1.881,2.125,2.244,2.336
2016-01-29,0.697,0.846,1.011,1.162,1.3,1.428,1.543,1.642,1.728,1.804,2.05,2.169,2.261
2016-02-01,0.714,0.872,1.038,1.193,1.333,1.462,1.577,1.677,1.762,1.838,2.087,2.207,2.301
2016-02-02,0.695,0.829,0.98,1.125,1.258,1.384,1.498,1.597,1.682,1.757,2.004,2.125,2.218
2016-02-03,0.669,0.769,0.906,1.051,1.19,1.32,1.437,1.541,1.631,1.711,1.966,2.09,2.187
2016-02-04,0.686,0.795,0.941,1.091,1.233,1.369,1.49,1.599,1.693,1.775,2.039,2.167,2.267
2016-02-05,0.713,0.824,0.965,1.111,1.251,1.384,1.505,1.614,1.708,1.791,2.051,2.179,2.277
2016-02-08,0.69,0.767,0.881,1.01,1.14,1.265,1.381,1.488,1.579,1.66,1.924,2.053,2.153
2016-02-09,0.681,0.738,0.847,0.978,1.11,1.235,1.349,1.454,1.545,1.625,1.886,2.014,2.114
